layer,type,v_min,v_max,abs_max,int_bits,Q,scale,max_repr,overflow,format,num_bits
mv2_2a.pw_expand,Sequential,-0.27846,724.01953,724.01953,11,21,4.76837158203125e-07,1024.0,False,Q10.21,32
mv2_2a.dw_conv.0,Conv2d,-353.27911,526.02216,526.02216,11,21,4.76837158203125e-07,1024.0,False,Q10.21,32
mv2_2a.dw_conv.1,BatchNorm2d,-144.24065,237.83884,237.83884,9,23,1.1920928955078125e-07,256.0,False,Q8.23,32
mv2_2a.dw_conv.2,SiLU,-0.27846,237.83884,237.83884,9,23,1.1920928955078125e-07,256.0,False,Q8.23,32
mv2_2a.dw_conv,Sequential,-0.27846,237.83884,237.83884,9,23,1.1920928955078125e-07,256.0,False,Q8.23,32
mv2_2a.pw_project.0,Conv2d,-311.34747,184.33339,311.34747,10,22,2.384185791015625e-07,512.0,False,Q9.22,32
mv2_2a.pw_project.1,BatchNorm2d,-134.74486,47.94496,134.74486,9,23,1.1920928955078125e-07,256.0,False,Q8.23,32
mv2_2a.pw_project,Sequential,-134.74486,47.94496,134.74486,9,23,1.1920928955078125e-07,256.0,False,Q8.23,32
mv2_2a,MV2,-134.74486,47.94496,134.74486,9,23,1.1920928955078125e-07,256.0,False,Q8.23,32
mv2_2b.pw_expand.0,Conv2d,-119.94296,106.67791,119.94296,8,24,5.960464477539063e-08,128.0,False,Q7.24,32
mv2_2b.pw_expand.1,BatchNorm2d,-140.30467,512.61285,512.61285,11,21,4.76837158203125e-07,1024.0,False,Q10.21,32
mv2_2b.pw_expand.2,SiLU,-0.27846,512.61285,512.61285,11,21,4.76837158203125e-07,1024.0,False,Q10.21,32
mv2_2b.pw_expand,Sequential,-0.27846,512.61285,512.61285,11,21,4.76837158203125e-07,1024.0,False,Q10.21,32
mv2_2b.dw_conv.0,Conv2d,-198.76341,549.83502,549.83502,11,21,4.76837158203125e-07,1024.0,False,Q10.21,32
mv2_2b.dw_conv.1,BatchNorm2d,-1067.5498,961.03772,1067.5498,12,20,9.5367431640625e-07,2048.0,False,Q11.20,32
mv2_2b.dw_conv.2,SiLU,-0.27846,961.03772,961.03772,11,21,4.76837158203125e-07,1024.0,False,Q10.21,32
mv2_2b.dw_conv,Sequential,-0.27846,961.03772,961.03772,11,21,4.76837158203125e-07,1024.0,False,Q10.21,32
mv2_2b.pw_project.0,Conv2d,-604.31335,303.74136,604.31335,11,21,4.76837158203125e-07,1024.0,False,Q10.21,32
mv2_2b.pw_project.1,BatchNorm2d,-121.99281,123.71172,123.71172,8,24,5.960464477539063e-08,128.0,False,Q7.24,32
mv2_2b.pw_project,Sequential,-121.99281,123.71172,123.71172,8,24,5.960464477539063e-08,128.0,False,Q7.24,32
mv2_2b,MV2,-158.24005,122.60228,158.24005,9,23,1.1920928955078125e-07,256.0,False,Q8.23,32
mv2_2c.pw_expand.0,Conv2d,-277.26898,217.77274,277.26898,10,22,2.384185791015625e-07,512.0,False,Q9.22,32
mv2_2c.pw_expand.1,BatchNorm2d,-997.95758,1216.01074,1216.01074,12,20,9.5367431640625e-07,2048.0,False,Q11.20,32
mv2_2c.pw_expand.2,SiLU,-0.27846,1216.01074,1216.01074,12,20,9.5367431640625e-07,2048.0,False,Q11.20,32
mv2_2c.pw_expand,Sequential,-0.27846,1216.01074,1216.01074,12,20,9.5367431640625e-07,2048.0,False,Q11.20,32
mv2_2c.dw_conv.0,Conv2d,-1318.99939,270.75974,1318.99939,12,20,9.5367431640625e-07,2048.0,False,Q11.20,32
mv2_2c.dw_conv.1,BatchNorm2d,-1390.53589,1406.09106,1406.09106,12,20,9.5367431640625e-07,2048.0,False,Q11.20,32
mv2_2c.dw_conv.2,SiLU,-0.27846,1406.09106,1406.09106,12,20,9.5367431640625e-07,2048.0,False,Q11.20,32
mv2_2c.dw_conv,Sequential,-0.27846,1406.09106,1406.09106,12,20,9.5367431640625e-07,2048.0,False,Q11.20,32
mv2_2c.pw_project.0,Conv2d,-281.04565,336.20312,336.20312,10,22,2.384185791015625e-07,512.0,False,Q9.22,32
mv2_2c.pw_project.1,BatchNorm2d,-101.89134,138.84427,138.84427,9,23,1.1920928955078125e-07,256.0,False,Q8.23,32
mv2_2c.pw_project,Sequential,-101.89134,138.84427,138.84427,9,23,1.1920928955078125e-07,256.0,False,Q8.23,32
mv2_2c,MV2,-162.47755,169.12915,169.12915,9,23,1.1920928955078125e-07,256.0,False,Q8.23,32
mv2_3a.pw_expand.0,Conv2d,-209.05624,218.31091,218.31091,9,23,1.1920928955078125e-07,256.0,False,Q8.23,32
mv2_3a.pw_expand.1,BatchNorm2d,-487.28058,355.4722,487.28058,10,22,2.384185791015625e-07,512.0,False,Q9.22,32
mv2_3a.pw_expand.2,SiLU,-0.27846,355.4722,355.4722,10,22,2.384185791015625e-07,512.0,False,Q9.22,32
mv2_3a.pw_expand,Sequential,-0.27846,355.4722,355.4722,10,22,2.384185791015625e-07,512.0,False,Q9.22,32
mv2_3a.dw_conv.0,Conv2d,-207.39821,336.50476,336.50476,10,22,2.384185791015625e-07,512.0,False,Q9.22,32
mv2_3a.dw_conv.1,BatchNorm2d,-398.50983,387.7998,398.50983,10,22,2.384185791015625e-07,512.0,False,Q9.22,32
mv2_3a.dw_conv.2,SiLU,-0.27846,387.7998,387.7998,10,22,2.384185791015625e-07,512.0,False,Q9.22,32
mv2_3a.dw_conv,Sequential,-0.27846,387.7998,387.7998,10,22,2.384185791015625e-07,512.0,False,Q9.22,32
mv2_3a.pw_project.0,Conv2d,-247.42162,267.94876,267.94876,10,22,2.384185791015625e-07,512.0,False,Q9.22,32
mv2_3a.pw_project.1,BatchNorm2d,-206.35077,261.77026,261.77026,10,22,2.384185791015625e-07,512.0,False,Q9.22,32
mv2_3a.pw_project,Sequential,-206.35077,261.77026,261.77026,10,22,2.384185791015625e-07,512.0,False,Q9.22,32
mv2_3a,MV2,-206.35077,261.77026,261.77026,10,22,2.384185791015625e-07,512.0,False,Q9.22,32
mvit_3b.local_rep.conv1,Conv2d,-787.51801,542.49292,787.51801,11,21,4.76837158203125e-07,1024.0,False,Q10.21,32
mvit_3b.local_rep.bn1,BatchNorm2d,-488.1333,394.2049,488.1333,10,22,2.384185791015625e-07,512.0,False,Q9.22,32
mvit_3b.local_rep.act1,SiLU,-0.27846,394.2049,394.2049,10,22,2.384185791015625e-07,512.0,False,Q9.22,32
mvit_3b.local_rep.conv2,Conv2d,-396.83878,401.59134,401.59134,10,22,2.384185791015625e-07,512.0,False,Q9.22,32
mvit_3b.local_rep,LocalRepresentation,-396.83878,401.59134,401.59134,10,22,2.384185791015625e-07,512.0,False,Q9.22,32
mvit_3b.transformers.0.norm1,LayerNorm,-1.64444,1.75233,1.75233,2,30,9.313225746154785e-10,2.0,False,Q1.30,32
mvit_3b.transformers.0.attn,MultiheadAttention,-2.10403,1.71233,2.10403,3,29,1.862645149230957e-09,4.0,False,Q2.29,32
mvit_3b.transformers.0.norm2,LayerNorm,-2.38598,2.58373,2.58373,3,29,1.862645149230957e-09,4.0,False,Q2.29,32
mvit_3b.transformers.0.fc1,Linear,-9.15313,3.8957,9.15313,5,27,7.450580596923828e-09,16.0,False,Q4.27,32
mvit_3b.transformers.0.act,SiLU,-0.27846,3.81808,3.81808,3,29,1.862645149230957e-09,4.0,False,Q2.29,32
mvit_3b.transformers.0.fc2,Linear,-4.16515,3.24397,4.16515,4,28,3.725290298461914e-09,8.0,False,Q3.28,32
mvit_3b.transformers.0,TransformerEncoder,-395.94064,401.24536,401.24536,10,22,2.384185791015625e-07,512.0,False,Q9.22,32
mvit_3b.transformers.1.norm1,LayerNorm,-2.14237,2.49272,2.49272,3,29,1.862645149230957e-09,4.0,False,Q2.29,32
mvit_3b.transformers.1.attn,MultiheadAttention,-2.9219,4.37759,4.37759,4,28,3.725290298461914e-09,8.0,False,Q3.28,32
mvit_3b.transformers.1.norm2,LayerNorm,-2.65323,3.97659,3.97659,3,29,1.862645149230957e-09,4.0,False,Q2.29,32
mvit_3b.transformers.1.fc1,Linear,-7.83842,4.49009,7.83842,4,28,3.725290298461914e-09,8.0,False,Q3.28,32
mvit_3b.transformers.1.act,SiLU,-0.27846,4.44027,4.44027,4,28,3.725290298461914e-09,8.0,False,Q3.28,32
mvit_3b.transformers.1.fc2,Linear,-4.93765,7.3079,7.3079,4,28,3.725290298461914e-09,8.0,False,Q3.28,32
mvit_3b.transformers.1,TransformerEncoder,-393.44675,396.42151,396.42151,10,22,2.384185791015625e-07,512.0,False,Q9.22,32
mvit_3b.norm,LayerNorm,-1.15458,1.16368,1.16368,2,30,9.313225746154785e-10,2.0,False,Q1.30,32
mvit_3b.fusion.conv1,Conv2d,-1.99443,2.23388,2.23388,3,29,1.862645149230957e-09,4.0,False,Q2.29,32
mvit_3b.fusion.bn1,BatchNorm2d,-3.2683,2.49873,3.2683,3,29,1.862645149230957e-09,4.0,False,Q2.29,32
mvit_3b.fusion.act1,SiLU,-0.27846,2.30896,2.30896,3,29,1.862645149230957e-09,4.0,False,Q2.29,32
