layer,type,v_min,v_max,abs_max,int_bits,Q,scale,max_repr,overflow,format,num_bits
mobilevit.encoder.layer.4.transformer.layer.2.attention.output.dropout,Dropout,-4.50149,5.70175,5.70175,4,12,0.000244140625,7.99976,False,Q3.12,16
mobilevit.encoder.layer.4.transformer.layer.2.attention.output,MobileViTSelfOutput,-4.50149,5.70175,5.70175,4,12,0.000244140625,7.99976,False,Q3.12,16
mobilevit.encoder.layer.4.transformer.layer.2.attention,MobileViTAttention,-4.50149,5.70175,5.70175,4,12,0.000244140625,7.99976,False,Q3.12,16
mobilevit.encoder.layer.4.transformer.layer.2.layernorm_after,LayerNorm,-3.71348,3.65639,3.71348,3,13,0.0001220703125,3.99988,False,Q2.13,16
mobilevit.encoder.layer.4.transformer.layer.2.intermediate.dense,Linear,-10.96809,6.0587,10.96809,5,11,0.00048828125,15.99951,False,Q4.11,16
mobilevit.encoder.layer.4.transformer.layer.2.intermediate.intermediate_act_fn,SiLUActivation,-0.27846,6.04457,6.04457,4,12,0.000244140625,7.99976,False,Q3.12,16
mobilevit.encoder.layer.4.transformer.layer.2.intermediate,MobileViTIntermediate,-0.27846,6.04457,6.04457,4,12,0.000244140625,7.99976,False,Q3.12,16
mobilevit.encoder.layer.4.transformer.layer.2.output.dense,Linear,-10.36559,13.23352,13.23352,5,11,0.00048828125,15.99951,False,Q4.11,16
mobilevit.encoder.layer.4.transformer.layer.2.output.dropout,Dropout,-10.36559,13.23352,13.23352,5,11,0.00048828125,15.99951,False,Q4.11,16
mobilevit.encoder.layer.4.transformer.layer.2.output,MobileViTOutput,-11.81301,25.46851,25.46851,6,10,0.0009765625,31.99902,False,Q5.10,16
mobilevit.encoder.layer.4.transformer.layer.2,MobileViTTransformerLayer,-11.81301,25.46851,25.46851,6,10,0.0009765625,31.99902,False,Q5.10,16
mobilevit.encoder.layer.4.transformer,MobileViTTransformer,-11.81301,25.46851,25.46851,6,10,0.0009765625,31.99902,False,Q5.10,16
